created_at,source,original_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,followers_count,friends_count,possibly_sensitive,hashtags,user_mentions,place
Fri Jun 18 19:13:38 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Follow the science..not F a u c i https://t.co/oaO21R8RwD,-1,0.0,0.0,en,0,0,Alaskacryptogi1,6705,7330,,,GENbio,"Alaska, USA"
Fri Jun 18 19:13:50 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @ACFHHS: As a father, you lead by example — set the right one for your family by finding a #COVID19 vaccine near you at https://t.co/WDB…",1,0.19285714285714284,0.46785714285714286,en,0,1,youthdotgov,938,455,,COVID19,POTUS,"Washington, DC"
Fri Jun 18 19:13:51 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@StevenW69808657 @stopthistyranny @energy_therapy @ArchieHicoxGB @HowarthSibling @Peston @afneil @itvnews @GOVUK If… https://t.co/MCNgDAgMOP,-1,0.0,0.0,en,0,0,HCimiez,90,91,,,PrakashLab,
Fri Jun 18 19:13:52 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @SABCNews: South Africa has recorded 10 510 new #coronavirus cases bringing the total to 1 796 589. The Department of Health has also re…,1,0.1590909090909091,0.6136363636363636,en,8,7,Makambas,76484,1489,,coronavirus,shawajason,"Johannesburg, South Africa"
Fri Jun 18 19:13:53 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @SABCNews: South Africa has recorded 10 510 new #coronavirus cases bringing the total to 1 796 589. The Department of Health has also re…,1,0.1590909090909091,0.6136363636363636,en,8,8,HerbertHamilton,1102,2497,,coronavirus,OfwonoOpondo,"Barberton, Mpumalanga"
Fri Jun 18 19:14:02 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @globalhlthtwit: Dr Moeti is head of WHO in Africa, and one of the best public health experts and leaders I know. Hers is a desperate re…",1,0.13333333333333333,0.45555555555555555,en,324,159,SuePlatt2,81,420,,,itranslate123,
Fri Jun 18 19:14:07 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @pierremejlak: 🔊 A new collaboration between the @RockefellerFdn and @IFC_org will help lift whole communities out of energy poverty wit…,1,0.16818181818181818,0.42727272727272725,en,11,2,daisyserem,264,279,,,AIPAC,
Fri Jun 18 19:14:16 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @steketeh: I hope it's true that the PA will return almost expired vaccines to Israel.
Why would the PA help Israel by buying these vacc…",1,0.35,0.65,en,3,2,MxRevenge1,3691,3743,,,DrEricDing,Cape Town 
Fri Jun 18 19:14:21 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Bring back digital vibes!

WHAT ARE WE BEING SUBJECTED TO 😭",-1,0.0,0.0,en,0,0,mfazomnyama_,106567,5620,,,ACFHHS,"eMsinga, South Africa"
Fri Jun 18 19:14:24 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @ncdhhs: #FridayVaccineFacts: what is #BringingSummerBack?

Bring Summer Back is a fun, flexible, community-centered approach to providi…",1,0.38,0.4,en,2,3,NC_Governor,171035,18,,FridayVaccineFacts,StevenW69808657,"North Carolina, USA"
